的	1755684090
是	309570956
在	294049721
了	281098465
和	248922489
年	215348956
一	210670054
有	158118630
这	156162074
中	138625251
不	132773326
人	126280687
上	107967856
为	102587080
种	102490980
对	100389863
第	99116515
他	98381809
经济	91716080
社会	91461572
发展	86202396
我	86117437
也	85187666
到	84718760
一个	81997332
月	81981809
十	78793402
与	76802439
我们	73177254
个	71490578
中国	67754963
来	67437806
说	66795168
工作	66589004
而	66468809
之	65672260
企业	65043888
主义	64793750
大	63140416
地	60887119
就	58260756
要	57046856
性	56342543
都	55317251
会	53985676
二	53624552
日	52854645
国家	52227747
以	51270404
问题	50671246
三	49563756
但	48791490
研究	48778100
并	48454224
于	46731623
他们	46389397
其	45827667
从	45644490
所	45310861
时	44813136
可以	44669387
还	44444401
生产	44327635
没有	44020662
人民	43645078
多	41958276
进行	41305164
各	41274100
下	39814626
管理	39810244
着	39683009
等	39522227
者	39348171
自己	38102173
方面	38015029
新	36144988
政府	35945895
两	35726793
它	35641683
后	35576604
技术	34434962
出	34413662
市场	32679352
教育	32599243
关系	32374130
看	32315882
很	32289759
文化	32083246
公司	31694276
元	31294824
主要	30323593
组织	29933868
将	29543181
就是	29320782
万	28960614
建设	28775677
使	28367200
历史	28340315
能	28339099
或	27966254
化	27529046
五	27303688
间	27239219
生活	27196490
把	27170619
重要	27027907
好	27015840
由	26646299
这个	26481562
这些	26474716
四	26439998
政治	26308200
情况	25650121
你	25465592
更	25380964
不是	25365803
思想	25347626
及	25185761
不同	24924914
此	24900991
这样	24556736
世界	24467660
改革	24460092
科学	24340505
学	24266635
地区	23970751
九	23933013
活动	23792779
不能	23444734
我国	23202299
通过	23153418
用	23134631
部	23082904
规定	23038887
又	22836722
制度	22647156
国	22644767
可	22306060
由于	22154382
可能	22074390
次	21633766
必须	21433896
认为	21397308
什么	21321173
一些	21320639
影响	21288303
要求	21232685
总	21166746
基础	21160598
被	21038763
因此	20788273
应	20586058
需要	20339539
同时	20275331
部门	20257839
民族	20235464
家	20227088
产品	20201278
因为	19981102
政策	19968603
作用	19965081
向	19932495
基本	19767649
建立	19476772
条件	19409611
她	19383119
领导	19284892
作	19261233
过	19125818
作为	19053005
长	19039461
代表	19010769
工业	19003897
如果	18679154
本	18579587
投资	18526372
业	18491415
计划	18461397
其他	18435152
农业	18330644
国际	18285104
内	18257039
最	18247618
具有	18127594
做	18044402
法	18032241
党	18000456
但是	17958025
提出	17918730
几	17873649
市	17814887
分	17777550
高	17591862
人员	17371154
美国	17342177
六	17320741
成	17302395
革命	17289914
有关	17281122
中央	17148007
结构	17114985
如	17081705
根据	17066138
全国	17035013
过程	16892592
出版	16884855
存在	16795811
服务	16773327
方法	16734576
外	16656346
关于	16583834
里	16579752
已	16567285
以及	16487670
那	16482435
经营	16474845
劳动	16441923
给	16369094
而且	16357888
实际	16332081
七	16285125
地方	16280871
会议	16266133
一定	16252073
成为	16228233
其中	16211363
阶级	16106604
全	16065859
系统	16059917
项	16011950
增长	15820015
形式	15810782
开始	15768606
得	15760263
们	15671413
部分	15639961
对于	15478780
时间	15450186
提高	15354294
八	15321992
环境	15264866
也是	15215896
起来	15097205
起	14963745
内容	14941802
每	14869415
法律	14839261
较	14829200
使用	14726813
精神	14703983
人们	14691813
省	14685432
方式	14646027
实现	14639077
决定	14459443
机构	14454772
单位	14429090
农村	14375953
分析	14361583
为了	14337403
出现	14286301
城市	14225365
发生	14201796
水平	14169112
增加	14151988
解决	14130152
已经	14107197
包括	14061714
前	13985590
理论	13973044
特别	13887652
社	13824033
群众	13739794
只	13584497
加强	13568303
比较	13528141
许多	13486366
知识	13475933
所以	13406504
个人	13311185
银行	13291459
提供	13243471
认识	13202994
自然	13142458
现在	13089144
行政	13061457
无	13021517
艺术	12960533
该	12952806
得到	12935846
则	12915841
一般	12914894
积极	12873953
去	12861140
委员会	12842064
形成	12837119
亿	12825399
信息	12822981
少	12791854
同	12693266
级	12659043
资产	12624733
人口	12605399
表现	12570721
价值	12557263
比	12468520
即	12425560
原则	12418041
资本	12268563
变化	12214376
位	12166570
产业	12152071
一次	12128643
小	12116609
行为	12051087
某	12020393
经	12011567
资源	11995075
意义	11991500
期	11989285
能力	11946880
资金	11922519
产生	11891808
农民	11831308
权	11792089
资料	11790464
北京	11777470
具体	11766963
至	11739853
运动	11728154
事	11719439
知道	11689507
区	11684484
当	11600044
